,temperature
2019-03-13 07:00:00,51.98
2019-03-13 08:00:00,50.53
2019-03-13 09:00:00,50.19
2019-03-13 10:00:00,48.0
2019-03-13 11:00:00,47.55
2019-03-13 12:00:00,46.12
2019-03-13 13:00:00,45.71
2019-03-13 14:00:00,43.94
2019-03-13 15:00:00,43.63
2019-03-13 16:00:00,44.91
2019-03-13 17:00:00,48.15
2019-03-13 18:00:00,51.07
2019-03-13 19:00:00,54.06
2019-03-13 20:00:00,55.82
2019-03-13 21:00:00,59.69
2019-03-13 22:00:00,58.51
2019-03-13 23:00:00,59.7
2019-03-14 00:00:00,60.75
2019-03-14 01:00:00,61.53
2019-03-14 02:00:00,60.15
2019-03-14 03:00:00,57.02
2019-03-14 04:00:00,54.05
2019-03-14 05:00:00,51.86
2019-03-14 06:00:00,50.19
2019-03-14 07:00:00,47.07
2019-03-14 08:00:00,46.34
2019-03-14 09:00:00,43.19
2019-03-14 10:00:00,40.96
2019-03-14 11:00:00,41.68
2019-03-14 12:00:00,39.58
2019-03-14 13:00:00,38.61
2019-03-14 14:00:00,37.85
2019-03-14 15:00:00,37.28
2019-03-14 16:00:00,42.96
2019-03-14 17:00:00,47.81
2019-03-14 18:00:00,52.36
2019-03-14 19:00:00,55.62
2019-03-14 20:00:00,58.49
2019-03-14 21:00:00,60.31
2019-03-14 22:00:00,61.78
2019-03-14 23:00:00,62.7
2019-03-15 00:00:00,63.77
2019-03-15 01:00:00,64.59
2019-03-15 02:00:00,63.92
2019-03-15 03:00:00,58.59
2019-03-15 04:00:00,57.95
2019-03-15 05:00:00,54.27
2019-03-15 06:00:00,51.83
2019-03-15 07:00:00,48.58
2019-03-15 08:00:00,46.96
2019-03-15 09:00:00,45.09
2019-03-15 10:00:00,44.84
2019-03-15 11:00:00,46.0
2019-03-15 12:00:00,44.19
2019-03-15 13:00:00,41.02
2019-03-15 14:00:00,40.0
2019-03-15 15:00:00,41.31
2019-03-15 16:00:00,47.46
2019-03-15 17:00:00,52.87
2019-03-15 18:00:00,56.8
2019-03-15 19:00:00,60.43
2019-03-15 20:00:00,62.34
2019-03-15 21:00:00,64.58
2019-03-15 22:00:00,66.8
2019-03-15 23:00:00,66.14
2019-03-16 00:00:00,67.79
2019-03-16 01:00:00,68.15
2019-03-16 02:00:00,67.14
2019-03-16 03:00:00,62.9
2019-03-16 04:00:00,59.71
2019-03-16 05:00:00,55.73
2019-03-16 06:00:00,53.25
2019-03-16 07:00:00,50.43
2019-03-16 08:00:00,49.02
2019-03-16 09:00:00,47.74
2019-03-16 10:00:00,46.27
2019-03-16 11:00:00,44.28
2019-03-16 12:00:00,45.19
2019-03-16 13:00:00,44.21
2019-03-16 14:00:00,42.02
2019-03-16 15:00:00,42.49
2019-03-16 16:00:00,47.64
2019-03-16 17:00:00,53.42
2019-03-16 18:00:00,57.96
2019-03-16 19:00:00,62.77
2019-03-16 20:00:00,64.77
2019-03-16 21:00:00,67.68
2019-03-16 22:00:00,67.72
2019-03-16 23:00:00,68.65
2019-03-17 00:00:00,69.88
2019-03-17 01:00:00,70.55
2019-03-17 02:00:00,69.74
2019-03-17 03:00:00,64.9
2019-03-17 04:00:00,60.56
2019-03-17 05:00:00,56.45
2019-03-17 06:00:00,56.67
2019-03-17 07:00:00,52.24
