,temperature
2019-02-02 08:00:00,54.22
2019-02-02 09:00:00,54.24
2019-02-02 10:00:00,54.24
2019-02-02 11:00:00,54.54
2019-02-02 12:00:00,55.2
2019-02-02 13:00:00,55.8
2019-02-02 14:00:00,56.18
2019-02-02 15:00:00,55.82
2019-02-02 16:00:00,53.29
2019-02-02 17:00:00,51.77
2019-02-02 18:00:00,53.5
2019-02-02 19:00:00,56.38
2019-02-02 20:00:00,58.41
2019-02-02 21:00:00,58.09
2019-02-02 22:00:00,60.03
2019-02-02 23:00:00,59.49
2019-02-03 00:00:00,58.78
2019-02-03 01:00:00,57.08
2019-02-03 02:00:00,55.38
2019-02-03 03:00:00,54.86
2019-02-03 04:00:00,54.02
2019-02-03 05:00:00,53.38
2019-02-03 06:00:00,52.06
2019-02-03 07:00:00,51.6
2019-02-03 08:00:00,51.23
2019-02-03 09:00:00,50.48
2019-02-03 10:00:00,50.27
2019-02-03 11:00:00,49.36
2019-02-03 12:00:00,49.45
2019-02-03 13:00:00,50.18
2019-02-03 14:00:00,50.82
2019-02-03 15:00:00,51.12
2019-02-03 16:00:00,51.34
2019-02-03 17:00:00,52.36
2019-02-03 18:00:00,53.62
2019-02-03 19:00:00,56.08
2019-02-03 20:00:00,56.91
2019-02-03 21:00:00,57.47
2019-02-03 22:00:00,57.41
2019-02-03 23:00:00,57.96
2019-02-04 00:00:00,57.63
2019-02-04 01:00:00,56.07
2019-02-04 02:00:00,54.01
2019-02-04 03:00:00,52.76
2019-02-04 04:00:00,52.17
2019-02-04 05:00:00,50.86
2019-02-04 06:00:00,50.07
2019-02-04 07:00:00,50.06
2019-02-04 08:00:00,50.06
2019-02-04 09:00:00,50.48
2019-02-04 10:00:00,50.22
2019-02-04 11:00:00,50.21
2019-02-04 12:00:00,49.74
2019-02-04 13:00:00,49.61
2019-02-04 14:00:00,48.74
2019-02-04 15:00:00,48.55
2019-02-04 16:00:00,48.53
2019-02-04 17:00:00,50.55
2019-02-04 18:00:00,52.53
2019-02-04 19:00:00,53.33
2019-02-04 20:00:00,53.39
2019-02-04 21:00:00,52.3
2019-02-04 22:00:00,52.51
2019-02-04 23:00:00,49.26
2019-02-05 00:00:00,50.61
2019-02-05 01:00:00,48.49
2019-02-05 02:00:00,47.07
2019-02-05 03:00:00,45.49
2019-02-05 04:00:00,44.83
2019-02-05 05:00:00,44.25
2019-02-05 06:00:00,43.9
2019-02-05 07:00:00,43.76
2019-02-05 08:00:00,42.84
2019-02-05 09:00:00,42.22
2019-02-05 10:00:00,40.94
2019-02-05 11:00:00,40.01
2019-02-05 12:00:00,40.73
2019-02-05 13:00:00,40.29
2019-02-05 14:00:00,40.12
2019-02-05 15:00:00,38.99
2019-02-05 16:00:00,39.34
2019-02-05 17:00:00,42.03
2019-02-05 18:00:00,45.38
2019-02-05 19:00:00,46.16
2019-02-05 20:00:00,47.43
2019-02-05 21:00:00,46.38
2019-02-05 22:00:00,47.59
2019-02-05 23:00:00,48.05
2019-02-06 00:00:00,47.22
2019-02-06 01:00:00,45.75
2019-02-06 02:00:00,43.07
2019-02-06 03:00:00,40.99
2019-02-06 04:00:00,38.97
2019-02-06 06:00:00,37.46
2019-02-06 07:00:00,36.3
2019-02-06 08:00:00,35.57
2019-02-06 09:00:00,34.84
2019-02-06 10:00:00,33.0
2019-02-06 11:00:00,32.58
2019-02-06 12:00:00,32.59
2019-02-06 13:00:00,32.05
2019-02-06 14:00:00,31.99
2019-02-06 15:00:00,31.36
